time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543543365244,10,2,45,0,2.1452048;-2.7102363;9.279925,0.6048788;-0.20057324;-2.9993308,-22.375;20.375;-39.875,1021.77734,5.0,4800.0, , , ,79 0e:69:6c:f9:c8:f6;-90 00:17:7b:0f:59:f8;-73 80:f6:2e:54:87:c1;-86 4c:fa:ca:1f:0a:30;-85 00:17:7b:0f:49:a8;-73 64:09:80:5b:84:4a;-91 00:17:7b:0f:44:a8;-79 00:17:7b:0f:44:b0;-86 00:34:cb:64:2a:ad;-73 d0:ee:07:22:f2:1e;-83 00:34:cb:64:2a:c3;-78 00:34:cb:54:cc:e7;-82 00:34:cb:54:cc:db;-69 00:34:cb:64:27:45;-77 00:34:cb:64:29:93;-66 00:17:7b:0f:49:b8;-83 00:34:cb:64:27:5d;-69 78:1d:4a:17:ce:29;-90 74:7d:24:0c:22:38;-88 8c:ab:8e:c9:07:10;-84 d8:c8:e9:83:a5:08;-79 b0:ac:d2:f2:38:79;-88 00:1f:7a:5d:f4:98;-66 00:1f:7a:5d:f4:99;-67 2c:b2:1a:ff:c9:09;-69 90:f0:52:53:2d:1d;-65 d8:c8:e9:83:a5:00;-68 b0:c0:90:6f:b8:1e;-69 fc:d7:33:ad:c3:60;-68 44:1c:a8:86:03:1c;-75 20:76:93:4b:92:be;-70 f0:b4:29:8e:80:2a;-70 88:25:93:9f:7c:1f;-64 04:25:c5:23:20:ac;-61 04:25:c5:23:02:9c;-62 d4:68:4d:e4:33:38;-68 d4:68:4d:a4:33:38;-73 00:34:cb:68:e2:3d;-66 00:1b:2f:5b:57:aa;-69 38:22:d6:d8:d2:f2;-53 38:22:d6:d8:d2:f0;-54 2e:b2:1a:df:c9:09;-67 00:1f:7a:5d:f4:91;-62 00:17:7b:0f:49:a0;-62 00:1f:7a:5d:f4:90;-61 00:34:cb:64:2a:ac;-65 2c:b2:1a:3e:19:2e;-58 00:17:7b:0f:49:a1;-63 34:96:72:68:ce:f2;-70 00:34:cb:68:d9:ed;-56 b8:f8:83:7f:61:c3;-90 00:17:7b:0f:45:a0;-88 f0:b4:29:8e:80:2b;-88 34:96:72:68:ce:f4;-81 00:34:cb:54:cc:a5;-89 00:34:cb:64:29:7d;-71 6c:3b:6b:c6:a3:29;-89 9c:e8:95:95:59:d1;-90 4c:5e:0c:dc:6d:63;-85 d4:68:4d:24:33:3d;-86 d4:68:4d:e4:33:3c;-84 d4:68:4d:a4:33:3c;-84 d4:68:4d:64:33:3c;-84 d4:68:4d:24:33:3c;-85 2c:b2:1a:3d:30:d5;-78 00:34:cb:68:d7:99;-65 c8:94:bb:60:29:30;-70 2e:15:e1:1f:80:a7;-71 2e:b2:1a:55:6c:10;-72 38:22:d6:d9:26:12;-65 d8:c7:71:13:1f:6b;-71 88:25:93:11:6f:37;-74 00:34:cb:68:da:08;-60 00:34:cb:68:e6:20;-63 34:d7:12:95:20:f7;-65 00:e0:01:00:1f:58;-70 d4:ee:07:22:f2:1e;-68 00:17:7b:0f:44:a0;-70 00:17:7b:fc:41:78;-65, 
1543543365255,10,2,45,0,1.9057846;-2.5091233;8.743625,0.7319387;0.07307693;-2.9541268,-25.1875;19.6875;-39.875,1021.77734,5.0,4800.0, , , , ,0
1543543365265,10,2,45,0,1.6950948;-2.3558946;8.6095495,0.70139545;0.12316789;-2.912588,-24.4375;18.1875;-39.875,1021.77734,5.0,4800.0, , , , , 
1543543365275,10,2,45,0,1.4077905;-2.0973208;8.523358,0.5914397;0.081629045;-2.8551667,-25.1875;18.1875;-41.375,1021.77734,5.0,4800.0, , , , , 
1543543365285,10,2,45,0,1.2737153;-2.0398598;8.571242,0.43750167;-0.016091935;-2.7843063,-24.375;14.4375;-40.625,1021.77734,5.0,4800.0, , , , , 
1543543365295,10,2,45,0,1.3024458;-2.0590134;8.781932,0.2896723;-0.115052104;-2.7207763,-24.375;13.6875;-41.375,1021.77734,5.0,4800.0, , , , , 
1543543365306,10,2,45,0,1.3982137;-2.135628;8.944737,0.16749924;-0.16636479;-2.6609116,-25.125;14.4375;-40.625,1021.77734,5.0,4800.0, , , , , 
1543543365315,10,2,45,0,1.484405;-2.2026656;9.299079,0.13695599;-0.14193018;-2.6303682,-27.9375;13.75;-40.625,1021.77734,5.0,4800.0, , , , , 
1543543365325,10,2,45,0,1.4077905;-2.2697031;9.490616,0.13206907;-0.093060955;-2.5961597,-26.4375;12.25;-39.875,1021.77734,5.0,4800.0, , , , , 
1543543365335,10,2,45,0,1.3599066;-2.327164;9.835381,0.13939945;-0.074735;-2.581499,-27.125;10.0;-39.875,1021.76807,5.0,4800.0, , , , , 
