time,hour,min,sec,env,acc,gyr,mag,pressure,prox,light,gnssMeasurement,gnssStatus,nema,wifi,cell
1543544173426,10,16,13,0,-4.0892963;2.135628;9.624691,0.2664594;-0.13459979;0.06963864,47.6875;11.1875;-26.0625,1021.6299,5.0,8037.0, , , , , 
1543544173437,10,16,13,0,-4.1180267;2.1930888;9.174581,0.26768115;-0.21767746;0.040317107,47.625;13.375;-24.625,1021.6299,5.0,8037.0, , , , , 
1543544173446,10,16,13,0,-4.2425256;2.1260512;8.532935,0.23713788;-0.292203;0.028099801,47.6875;11.125;-24.625,1021.6299,5.0,8037.0, , , , , 
1543544173457,10,16,13,0,-4.2999864;2.078167;8.312668,0.22492059;-0.3190811;0.032986723,47.6875;10.4375;-26.0625,1021.6299,5.0,8037.0, , , , , 
1543544173466,10,16,13,0,-4.462792;2.0973208;8.293514,0.20048597;-0.3911632;0.043982297,47.6875;11.875;-25.375,1021.6299,5.0,8037.0, , , , , 
1543544173476,10,16,13,0,-4.7022123;2.1452048;8.418014,0.19071212;-0.496232;0.06719518,48.375;11.125;-25.375,1021.6299,5.0,8037.0, , , , , 
1543544173486,10,16,13,0,-4.8937483;2.1547816;7.4603324,0.113743104;-0.37039378;0.111177474,47.6875;11.9375;-26.8125,1021.6299,5.0,8037.0, , , , , 
1543544173497,10,16,13,0,-5.0757074;2.2218192;7.7093296,0.1296256;-0.2030167;0.20158553,47.6875;10.4375;-26.8125,1021.6299,5.0,8037.0, , , , , 
1543544173508,10,16,13,0,-5.046977;1.934515;7.3166804,0.078312926;0.13171999;0.35063663,48.375;13.375;-24.625,1021.6299,5.0,8037.0,19 1;2;37.51498031616211;false;NaN;0;364.32005644614674 1;5;18.414024353027344;false;NaN;1;186.38686631611927 1;6;9.73965835571289;false;NaN;1;613.3084882647554 1;7;16.894193649291992;false;NaN;1;165.94028941123747 1;13;38.071380615234375;false;NaN;0;-280.1219037907829 1;15;45.450782775878906;false;NaN;0;-623.4073246272033 1;21;21.07451629638672;false;NaN;0;-586.1799435112071 1;29;40.81666946411133;false;NaN;0;73.70132692748501 1;30;12.489709854125977;false;NaN;1;-134.0927132893832 3;2;26.866104125976562;false;NaN;0;582.9078231902781 3;18;32.321693420410156;false;NaN;0;150.75583929873847 3;12;20.997770309448242;false;NaN;0;-338.9709226651978 3;11;18.967769622802734;false;NaN;1;99.91390566198282 3;17;30.027740478515625;false;NaN;0;738.2407319052909 3;3;18.76862907409668;false;NaN;0;117.41926029570152 3;4;29.9111270904541;false;NaN;1;-489.61780035043284 4;193;29.76433753967285;false;NaN;0;-2.2476698427662996 4;194;23.38006019592285;false;NaN;1;-126.22284402168475 4;195;28.338804244995117;false;NaN;0;47.8491360882594, ,$GPGSA;3.1;2.1;2.3 $GNGSA;3.1;2.1;2.3 $GNGSA;3.1;2.1;2.3 $QZGSA;3.1;2.1;2.3 $IMGSA;3.1;2.1;2.3 $BDGSA;3.1;2.1;2.3 $GAGSA;3.1;2.1;2.3 , , 
1543544173519,10,16,13,0,-4.807557;1.7429788;7.297527,0.052656583;0.21357594;0.40561453,47.6875;11.1875;-26.8125,1021.6299,5.0,8037.0, , , , , 
1543544173529,10,16,13,0,-4.807557;1.7429788;7.297527,0.052656583;0.21357594;0.40561453,47.6875;11.1875;-26.8125,1021.6299,5.0,8037.0, , , , , 
1543544173539,10,16,13,0,-3.9743748;1.3024458;7.297527,-0.023073252;0.31864476;0.55588734,47.6875;11.1875;-26.8125,1021.6279,5.0,8037.0, ,17 3;18;34.0;75.0;217.0 4;193;30.0;73.0;79.0 1;13;38.0;69.0;163.0 3;3;19.0;68.0;343.0 1;5;18.0;63.0;41.0 1;29;42.0;47.0;266.0 1;2;38.0;45.0;131.0 1;15;45.0;38.0;215.0 3;4;31.0;35.0;253.0 3;17;35.0;28.0;165.0 3;2;27.0;25.0;42.0 1;30;13.0;21.0;74.0 4;195;32.0;20.0;173.0 1;21;23.0;14.0;310.0 1;7;24.0;11.0;44.0 3;12;22.0;10.0;61.0 4;194;25.0;9.0;144.0, , , 
1543544173549,10,16,13,0,-3.86903;1.3024458;7.2592196,-0.04872959;0.33697072;0.5656612,49.8125;11.125;-26.8125,1021.6279,5.0,8037.0, , , , , 
1543544173559,10,16,13,0,-3.7541082;1.3790601;7.201759,-0.06827728;0.28565803;0.57910025,48.375;11.875;-26.0625,1021.6279,5.0,8037.0, , , , , 
1543544173570,10,16,13,0,-3.5242648;1.3311762;7.0102224,-0.11470304;0.21846285;0.58276546,48.4375;10.375;-26.0625,1021.6279,5.0,8037.0, , , , , 
1543544173579,10,16,13,0,-3.0262709;1.0247183;6.885724,-0.22221532;0.044977136;0.5338962,49.8125;9.625;-26.0625,1021.6279,5.0,8037.0, , , , , 
1543544173589,10,16,13,0,-3.371036;1.3120226;6.7324953,-0.2979626;-0.020978857;0.48747045,49.875;9.625;-25.3125,1021.6279,5.0,8037.0, , , , , 
1543544173599,10,16,13,0,-3.9743748;1.733402;6.9144545,-0.40058798;-0.02953097;0.44226643,49.875;8.875;-23.875,1021.6279,5.0,8037.0, , , , , 
1543544173610,10,16,13,0,-4.012682;1.6663644;7.240066,-0.45923102;-0.069848076;0.49357912,47.75;9.6875;-26.0625,1021.6279,5.0,8037.0, , , , , 
1543544173620,10,16,13,0,-3.7732618;1.1013328;7.7189064,-0.5117654;-0.15659094;0.516792,47.6875;10.4375;-25.375,1021.6279,5.0,8037.0, , , , , 
1543544173630,10,16,13,0,-3.7541082;1.1300632;7.881712,-0.5313131;-0.23355997;0.53878313,49.1875;8.875;-24.5625,1021.6294,5.0,8037.0, , , , , 
1543544173640,10,16,13,0,-3.620033;1.1300632;7.881712,-0.5264262;-0.24455553;0.57910025,49.875;7.375;-26.0625,1021.6294,5.0,8037.0, , , , , 
1543544173650,10,16,13,0,-3.4380736;1.0630256;7.843405,-0.53253484;-0.18346901;0.6072,47.75;9.6875;-25.375,1021.6294,5.0,5715.0, , , , , 
1543544173660,10,16,13,0,-3.2848446;1.0821792;7.881712,-0.55452603;-0.08084365;0.6267477,49.25;5.875;-23.8125,1021.6294,5.0,5715.0, , , , , 
1543544173670,10,16,13,0,-3.217807;1.1109096;7.97748,-0.5814041;0.020542525;0.638965,49.1875;8.875;-25.3125,1021.6294,5.0,5715.0, , , , , 
1543544173680,10,16,13,0,-3.0454245;1.043872;8.073248,-0.6754773;0.00710349;0.6817256,50.5625;8.125;-26.0625,1021.6294,5.0,5715.0, , , , , 
1543544173690,10,16,13,0,-3.169923;1.0821792;7.9104424,-0.78909826;0.022985986;0.6743952,49.1875;7.375;-25.3125,1021.6294,5.0,5715.0, , , , , 
1543544173700,10,16,13,0,-3.3614593;1.1683705;7.97748,-0.8831715;0.026651178;0.6695083,50.625;6.625;-25.3125,1021.6294,5.0,5715.0, , , , , 
